trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.05, 'e': 0.9790609845195051}",30,0,-226.71386572143257,"{0: 16, 1: 1, 2: 8, 3: 2, 4: 3}",0
43,False,"{'a': 0.05, 'e': 0.9780309147241483}",25,0,-67.44932020472525,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.05, 'e': 0.9769763942068623}",30,17,-66.66204742926219,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
45,False,"{'a': 0.05, 'e': 0.9758974493306055}",20,0,-180.89350189222452,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
46,False,"{'a': 0.05, 'e': 0.9747941070689433}",25,0,-70.70313609156568,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
47,False,"{'a': 0.05, 'e': 0.9736663950053748}",20,0,-116.91971092211624,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
48,False,"{'a': 0.05, 'e': 0.972514341332643}",25,0,-137.27506366589597,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
49,False,"{'a': 0.05, 'e': 0.9713379748520296}",25,0,-54.47523134369694,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
50,False,"{'a': 0.05, 'e': 0.9701373249726354}",20,0,-204.84227196423265,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
51,False,"{'a': 0.05, 'e': 0.9689124217106447}",25,0,-113.86858663744596,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
52,False,"{'a': 0.05, 'e': 0.9676632956885756}",20,0,-153.07372327960843,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
53,False,"{'a': 0.05, 'e': 0.9663899781345132}",30,0,-150.45790286253492,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
54,False,"{'a': 0.05, 'e': 0.9650925008813303}",30,0,-92.2147023154533,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
55,False,"{'a': 0.05, 'e': 0.9637708963658905}",20,10,-80.67808588656604,"{0: 6, 1: 0, 2: 1, 3: 2, 4: 1}",1
56,False,"{'a': 0.05, 'e': 0.962425197628238}",20,0,-105.00063108772733,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
57,False,"{'a': 0.05, 'e': 0.9610554383107709}",20,10,-7.05143316769531,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
